5,B.,Nonis,,
6,C.,8 Idus,,
7,D.,7 Idus,,
8,E.,6 Idus,,
9,F.,5 Idus,,
10,G.,4 Idus,,
11,A.,3 Idus,,
12,B.,2 Idus,,
13,C.,Idibus,Sancti Kirici et Iulitae,
14,D.,18 Kal. Iulius,,
15,E.,17 Kal.,,
16,F.,16 Kal.,Sancte Adriani et Nataliae,
17,G.,15 Kal.,,
18,A.,14 Kal.,,
19,B.,13 Kal.,Sancte Gerbasi et Protasi,
20,C.,12 Kal.,,
21,D.,11 Kal.,,
22,E.,10 Kal.,,
23,F.,9 Kal.,,
24,G.,8 Kal.,Natibitas sancti Iohannis Babtiste,
25,A.,7 Kal.,,
26,B.,6 Kal.,Sancte Pelagii mar.,
27,C.,5 Kal.,Sancte Zolli mar.,
28,D.,4 Kal.,Sancte Iuliane mar.,
29,E.,3 Kal.,Sanctorum Apostolorum Petri et Pauli,
30,F.,2 Kal.,Sanctae Lucidiae virg.,
1,G.,Kal. Julius,Sanctorum Symonis et Iudae Apostolorum,
2,A.,6 Nonas,,
3,B.,5 Nonas,,
4,C.,4 Nonas,Translatio corporis Sancti Martini,
5,D.,3 Nonas,,
6,E.,2 Nonas,,
7,F.,Nonis,,
8,G.,8 Idus,,
9,A.,7 Idus,,
10,B.,6 Idus,Sancte Christofori et cm. eius,
11,C.,5 Idus,,
12,D.,4 Idus,,
13,E.,3 Idus,,
14,F.,2 Idus,,
15,G.,Idibus,,
16,A.,17 Kal. Aug.,Sancte Mames,Mammes of Caesarea - Wikipedia
17,B.,16 Kal.,Sancatum Iuste et Rufine,
18,C.,15 Kal.,Sancte Sperati et Marine,
19,D.,14 Kal.,,
20,E.,13 Kal.,,
21,F.,12 Kal.,,
22,G.,11 Kal.,,
23,A.,10 Kal.,,
24,B.,9 Kal.,Sancte Bartolomei Apostoli,
25,C.,8 Kal.,Sancte Cucufati,
26,D.,7 Kal.,Sancte Christinae,
27,E.,6 Kal.,Sancte Felicis Nolensis,
28,F.,5 Kal.,,
29,G.,4 Kal.,,
30,A.,3 Kal.,,
31,B.,2 Kal.,Sancte Fabi,
1,C.,Kal. Aug.,Sancte Felicis et Makabeorum,
2,D.,4 Nonas,,
3,E.,3 Nonas,,
4,F.,2 Nonas,,
5,G.,Nonis,,
6,A.,8 Idus,Sanctorum Iusti et Pastoris,
7,B.,7 Idus,,
8,C.,6 Idus,,
9,D.,5 Idus,,
10,E.,4 Idus,Sanctorum Xisti (ep) Laurenti arcdiaconi,
11,F.,3 Idus,,
12,G.,2 Idus,,
13,A.,Idibus,,
14,B.,19 Kal. Setbrs.,,
15,C.,18 Kal.,Adsumtio Sanctae Mariae Virg.,
16,D.,17 Kal.,,
17,E.,16 Kal.,,
18,F.,15 Kal.,,
19,G.,14 Kal.,,
20,A.,13 Kal.,,
21,B.,12 Kal.,,
22,C.,11 Kal.,,
23,D.,10 Kal.,Principium autumni,
24,E.,9 Kal.,Dies v intercalares,?Coptic Intercalary
25,F.,8 Kal.,Sancte Genesi,
26,G.,7 Kal.,Sancte Victoris,
27,A.,6 Kal.,,
28,B.,5 Kal.,Sancte Agustini epi.,
29,C.,4 Kal.,,
30,D.,3 Kal.,,
31,E.,2 Kal.,,
1,F.,Kal. Setbr.,Sancte Vincenti et Leti,
2,G.,4 Nonas,Sancte Antonini,
3,A.,3 Nonas,,
4,B.,2 Nonas,,
5,C.,Nonis,,
6,D.,8 Idus,,
7,E.,7 Idus,,
8,F.,6 Idus,,
9,G.,5 Idus,,
10,A.,4 Idus,Letanie celebranderant,
11,B.,3 Idus,,
12,C.,2 Idus,,
13,D.,Idibus,,
14,E.,18 Kal. Octbrs.,Sancte Cipr{i}ani epi.,
15,F.,17 Kal.,,
16,G.,16 Kal.,Sancte Eufimie Virg.,
17,A.,15 Kal.,,
18,B.,14 Kal.,,
19,C.,13 Kal.,,
20,D.,12 Kal.,,
21,E.,11 Kal.,Sancte Mathei Apostoli Euangeliste,
22,F.,10 Kal.,,
23,G.,9 Kal.,,
24,A.,8 Kal.,Decollatio Sancti Iohannis Babtstae,
25,B.,7 Kal.,,
26,C.,6 Kal.,,
27,D.,5 Kal.,,
28,E.,4 Kal.,,
29,F.,3 Kal.,Dedicatio Sancti Micaelis Arcangeli,
30,G.,2 Kal.,Sancti Iheronimi prsbteri,
1,A.,Kal. Oct.,,
2,B.,6 Nonas,,
3,C.,5 Nonas,,
4,D.,4 Nonas,,
5,E.,3 Nonas,,
6,F.,2 Nonas,,
7,G.,Nonis,,
8,A.,8 Idus,,
9,B.,7 Idus,Sancte Dionisi Epi. Cm. eius,
10,C.,6 Idus,Sancte Afre,
11,D.,5 Idus,,
12,E.,4 Idus,,
13,F.,3 Idus,Sanctorum Fausti Ianuarii et Martialis,
14,G.,2 Idus,,
15,A.,Idibus,,
16,B.,17 Kal. Nbrs.,,
17,C.,16 Kal.,,
18,D.,15 Kal.,Sancte Luce et Euangelite,
19,E.,14 Kal.,,
20,F.,13 Kal.,Sancte Caprasi,
21,G.,12 Kal.,Sanctara Nunilonis et Elodie Virginum.,
22,A.,11 Kal.,Sanctorum Cosme et Damiani,
23,B.,10 Kal.,Sanctorum Serbandi et Germani,
24,C.,9 Kal.,,
25,D.,8 Kal.,,
26,E.,7 Kal.,,
27,F.,6 Kal.,,
