Year,Name,Link,Use,Downloaded?,Location,Notes
1516,Breviarium Frisingense,https://books.google.com/books?id=cKuIwB9GRBAC,,,,
1516,Breviarium Brixinense,https://books.google.com/books?id=rA08AAAAcAAJ,,,,
1516,Breviarium Brixinense,https://books.google.com/books?id=qOI7AAAAcAAJ,,,,
1517,Breviarium secundum usum ordinis S. Johannis Hierosolymitani,https://books.google.com/books?id=T1BmAAAAcAAJ,,,,
1517,Breuiarium horarum canonicarum secundum veram rubricam archiepiscopatus Pragensis,https://books.google.com/books?id=OMPsRaAZm90C,,,,
1518,Breviarium Benedictinum,https://books.google.com/books?id=wV1UAAAAcAAJ,,,,
1519,Breviarium Benedictinum,https://books.google.com/books?id=q11UAAAAcAAJ,,,,
1519,Breviarium Benedictinum,https://books.google.com/books?id=mmFUAAAAcAAJ,,,,
1519,Breviarium Benedictinum,https://books.google.com/books?id=PFxUAAAAcAAJ,,,,
1519,Breviarium secundum usum chorumque Ecclesie Babenbergensis,https://books.google.com/books?id=pkdUAAAAcAAJ,,,,
1519,Breviarium Nidrosiensis,https://archive.org/details/breuiariaadvsumr00cath_0,,,,
1521,Breuiarium de camera secundum morem S. Romane Ecclesie,https://books.google.com/books?id=PFxocx2rKE0C,Roman,,,
1529,Breviarium Romanum,https://books.google.com/books?id=EpqBHDIYoZ0C,Roman,,,
1539,Ambrosian,https://archive.org/details/bub_gb_X7_xhVGjwIAC,,,,
1539,Quinonez,https://books.google.com/books?id=CUv0tHJJfqkC,,,,
1540,Quinonez,https://books.google.com/books?id=Ltatj4gewMwC,,,,
1543,Breviarium Bituricense,https://archive.org/details/bub_gb_j_bhB3WRcgcC,,,,
1543,Breviarium Carmelitarum,https://books.google.com/books?id=9WFUAAAAcAAJ,,,,
1546,Quinonez,https://archive.org/details/breuiariumromanu00cath,,,,
1547,Antiphonarium Romanum ad vesperas,https://archive.org/details/bub_gb_BhDE4mpeSyAC,Roman,,,
1549,Ambrosian,https://archive.org/details/bub_gb_5NAEsu90rB0C,,,,
1550,Breuiarium Romanum,https://books.google.com/books?id=aDZlNe36QMcC,Roman,,,
1550,Breviarium Romanum,https://books.google.com/books?id=hyKwZpgvq5gC,Roman,,,
1552,Breviarium Ordinis Praedicatorum,https://books.google.com/books?id=lLZWAAAAcAAJ,SOP,,,
1553,Breuiarium Romanum,https://books.google.com/books?id=hiQfiHxmGlEC,Roman,,,
1554,Breviarium: secundum regulam decanaf ecclesie Collegialis ble Marie ciuitalio Tudelle regni Nauarre Tirasunen diocesis,https://books.google.com/books?id=DSfdq_DEOxQC,,,,
1557,Breuiarium Romanum,https://books.google.com/books?id=Mi9FUdDQxmYC,Roman,,,
1563,Quinonez,https://archive.org/details/bub_gb_JxRaJVPlH5EC,,yes,both,
1563,Quinonez,https://archive.org/details/bub_gb_XQwKF5DLaIcC,,,,
1563,Roman Breviary,https://archive.org/details/bub_gb_u5fEJb6JsG4C,Roman,,,
1568,Carmelite Breviary,https://archive.org/details/ARes16610,,,,
1568,Monastic,https://books.google.com/books?id=Xdp9Hv6PgMkC,,,,
1570,Roman Breviary,https://www.digitale-sammlungen.de/de/view/bsb10147678?page=5,Roman,yes,Desktop,
1573,Roman Breviary,https://archive.org/details/bub_gb_pZJxSkvnU6UC,Roman,,,
1573,Breuiarium monasticum,https://books.google.com/books?id=kGdnAAAAcAAJ,,,,
1575,Roman Breviary,https://archive.org/details/breviarium-romanum-1568,Roman,yes,both,
1580,Roman Breviary,https://archive.org/details/bub_gb_q05XDEeDnA8C,Roman,,,
1585,Breuiarium monasticum,https://books.google.com/books?id=kCN53VulX5MC,,,,
1588,Breuiarium Ambrosianum,https://books.google.com/books?id=ysS6sQar6AcC,,,,
1597,Breviarium juxta ritum candidissimi ordinis praemonstratensis,https://books.google.com/books?id=uDe2FAIQpW0C,,,,
1603,Roman Breviary,https://books.google.com/books?id=4e1_7AOBmP8C,Roman,yes,both,
1616,Breviarium Benedictinum,https://books.google.com/books?id=g2JUAAAAcAAJ,,,,
1642,Breuiarium Cartusiani ordinis,https://books.google.com/books?id=ebobxiLr8GYC,,,,
1643,Breuiarium Cartusiani ordinis,https://books.google.com/books?id=rRuJTxHZS88C,,,,
1662,Officium s. Agapiti martyris Praenestini. Duplex [Palestrina],https://archive.org/details/bub_gb_XJAYxFSc_FgC,,,,
1675,Breviarium Romanum,https://books.google.com/books?id=-cXYqusIEx8C,Roman,,,
1676,Breviarium Ordinis Praedicatorum,https://books.google.com/books?id=rFZbAAAAcAAJ,SOP,,,
1686,Responsorialia et antiphonaria Romanæ Ecclesiæ,https://archive.org/details/bub_gb_xBFZv0Pv_2AC,Roman,,,
1686,Responsorialia et antiphonaria Romanæ Ecclesiæ,https://archive.org/details/bub_gb_DfdqNx7EOFYC,Roman,,,
1686,Responsorialia et antiphonaria Romanæ Ecclesiæ,https://archive.org/details/bub_gb_qAt5uwApizcC,Roman,,,
1686,Responsorialia et antiphonaria Romanæ Ecclesiæ,https://archive.org/details/bub_gb_Gwajh7a8UFYC,Roman,,,
1686,Responsorialia et antiphonaria Romanæ Ecclesiæ,https://books.google.com/books?id=xBFZv0Pv_2AC,Roman,,,
1686,Responsorialia et antiphonaria Romanæ Ecclesiæ,https://books.google.com/books?id=DfdqNx7EOFYC,Roman,,,
1686,Responsorialia et antiphonaria Romanæ Ecclesiæ,https://books.google.com/books?id=Gwajh7a8UFYC,Roman,,,
1686,Responsorialia et antiphonaria Romanæ Ecclesiæ,https://books.google.com/books?id=qAt5uwApizcC,Roman,,,
1686,Responsorialia et antiphonaria Romanæ Ecclesiæ,https://books.google.com/books?id=xIyCAkeGnckC,Roman,,,
1702,Carmelite Breviary,https://books.google.com/books?vid=GENT900000065019,,,,
1714,Breviary,https://archive.org/details/bub_gb_Uw7fYZlo7k4C,,,,
1715,Augustinian,https://archive.org/details/breviarium_augustinianum_1715-sancti_augustini/,,,,
1717,Carthusian,https://books.google.com/books?id=6GJkAAAAcAAJ,,,,
1718,BREVIARIUM AUGUSTINIANUM,https://books.google.com/books?id=km5kAAAAcAAJ,,,,
